"Notes_RegSheet","n"
"Q) LandUse: ""Vacation/Timber"" written in blank next to checked ""Other"" box",1
"Q) LandUse: ""Wildlife"" written in blank next to checked ""Other"" box
U) ""Other"" box also checked",1
"Q) LandUse: ""allows livestock"" written next to checked ""Other"" box",1
"Q) LandUse: ""gardens + lawn"" written next to checked ""Other"" box",1
"Q) LandUse: ""lawn and community garden 1 acre"" written in blank next to checked ""Other"" box",1
"Q) LandUse: ""well is within 20' of cow pasture""",1
"Q) LandUse: wrote ""Broadus Meats"" in ""other""; U) PrimaryWaterUseFromWell: wrote ""Broadus Meats"" in ""other""",1
"Q) LandUse: wrote ""Rental""",1
"Q) LandUse: wrote ""Rentals""",1
"Q) LandUse: wrote ""recreational""",1
"Q) LandUse: wrote ""vacation res."" in ""other"" blank",1
"Q) LandUse: wrote ""wildlife""",1
"Q) Meat Shop",1
"Q) Note: combined operation-certified hay/cattle 5 mo/ improved grazing 5 moX) Other is also checked off, but nothing is written on the line",1
"Q) Noted: + Trees
U) Noted: + Trees",1
"Q) Noted: 5 Acres of grass hay
AA) Noted: 9/19/16",1
"Q) Noted: Bar & Rest.",1
"Q) Noted: garden/chickens
V) Selected Multiple Options: Yes, No
W) Noted: Void
FF) Selected Multiple Options: Yes, I Don't Know",1
"Q) Other - Mining Claim
P) the word well crossed off in the question and Surface runoff was written in place of it.
U) the word well crossed off in the question and Surface Water was written in place of it.",1
"Q) Other: Ag Research",1
"Q) Other: All
Z) ?
AA) Sampled 3pm
CC) maybe",1
"Q) Other: Buisness",2
"Q) Other: Church
R) Noted: none",1
"Q) Other: Commercial",6
"Q) Other: Commercial
AA) Noted: 2021",1
"Q) Other: Commercial
R) Noted: None
X) Selected multiple: Water Softner, Carbon",2
"Q) Other: Forest",1
"Q) Other: Hay
AA) Noted: Don't Know",1
"Q) Other: Meat shop",1
"Q) Other: Mixed-Use",1
"Q) Other: Parking",1
"Q) Other: Pasture-with cows
R) 25 cow/calf pairs",1
"Q) Other: Public Park",1
"Q) Other: Residential but surrounded by cattle ranch",1
"Q) Other: Spiritual Center",1
"Q) Other: Summer Home
W) Selected Multiple: Untreated, No Treatment System",1
"Q) Other: Surrounded by pasture
R) Note: 0 now, can be up to 10",1
"Q) Other: Vacant Land
EE) Noted: N/A",1
"Q) Other: bar",1
"Q) Other: church
W) crossed off both Treated and Untreated, put treated into the database.
CC) Also put down: ""approx. 30 feet""",1
"Q) Other: commercial",1
"Q) Other: commercial
R) Noted: none
X) Selected multiple options: Water Softner, Carbon",1
"Q) Other: nursery",1
"Q) Other: ranch",1
"Q) Other: recreational",1
"Q) Other: recreational
X) Other: whole house filter
AA) Yes, in the year 2019",1
"Q) Other: wrote ""mix of all 3"", put ""all 3"" into the database.
R)wrote ""up to 40""
U) wrote other: all 3 on registration form, put into the database as ""all 3"".",1
"Q) Other:Hay ground, and residential",1
"Q) Personal rest
R) 20-40 pairs July-Sept
CC) Stream haw gultch",1
"Q) Rec Cabin",1
"Q) Recreation",2
"Q) Residential and Other: CRP",1
"Q) Retail",1
"Q) Selected Multiple: Livestock, Other: Lawn
R) Noted: 1100 Cows",1
"Q) livestock relatedoperation and Other: Pasture
R) average livestock head taken , written as 110-120 on registration form.
X) Other: charcoal",1
"Q) other: hayfield
EE) ""Will be"" written next to the question, may be a response to FF).",1
"Q) other: mountain cabin",1
"Q) other: personal residence land ….. For pasutre grazing (cant read the word In the middle)
R) 100-120 head
V) No: use bottled or gallon jugs of store water
FF) Note: septic is away from and above the spring",1
"Q) residential and other: pets, chickens",1
"Q)Assisted Living Home",1
"Q)Cabin",1
"Q)National Forest",1
"Q)School-Public",1
"R) 0 at this time.
EE) Septic is new this year
FF) the old septic system tank was pumped-now abandoned and empty",1
"R) 0, right now they are on summer range
FF) new septic",1
"R) 18 SHEEP",1
"R) 2 Horses",1
"R) 2 horsesX) Particulate and Other: UV",1
"R) 20 to 40 hd.",1
"R) 20-50 part time written in space on registration form.",1
"R) 22 CHICKENS
EE) Note: WBYC water + sewer",1
"R) 25 hens, 10 goats, 1 dog, 2 humans written in the space provided, left autopopulated 0 in the database.",1
"R) 3 horses",2
"R) 6 horses",1
"R) 7 HORSES",1
"R) 8 HORSES
X) Other: hard water conditioner - poly-scale remover  26 ft well",1
"R) Client wrote ""3-5 horses"", kept autopopulated 0 in the database.",1
"R) Goats Y) Note: Haven't drank it yet; just showeredZ) Note: Basic FF) Note: ~6 mo old",1
"R) Livestock Number: ""varies by season 5-50""",1
"R) Livestock number written as 30-35, averaged out to be 32.5, put 33 into database
CC) Well depth written as ""approximately 30'"" on the registration sheet, put into the database as ""less than 50 ft.""",1
"R) Livestock: they are there off and on",1
"R) LivestockNumber: ""1 cat, 1 dog"" written in blank but I didn't count it
""N/A"" written several times in the margins down the right side",1
"R) LivestockNumber: ""25 chicken, ~4 cattle are on neighboring land"" written in blank",1
"R) LivestockNumber: ""3 died suspect water?"" written in blank next to ""3""",1
"R) LivestockNumber: ""4 but have had lots more (50+)"" written in blank",1
"R) LivestockNumber: ""5x Chickens, 1x dog, 1x cat"" written in blank",1
"R) LivestockNumber: ""N/A"" written in blank",1
"R) LivestockNumber: ""N/A"" written in blank; X) TreatedWith: ""Particulate"" and ""Reverse Osmosis"" boxes also checked",1
"R) LivestockNumber: ""varies"" written in blank",1
"R) LivestockNumber: wrote ""80 pairs"" in the blank; Y) CurrentlyTreatDrinkingWater: wrote ""particulate only""; FF) SepticEverPumped: wrote ""2017 pumped""",1
"R) LivestockNumber: wrote ""seasonal"" in the blank",1
"R) Note: 0 now, can be up to 20",1
"R) Noted 2 Horses",1
"R) Noted: (For 20 years)
X) Other: Zero Water Filter
AA) Noted: 2019",1
"R) Noted: -",1
"R) Noted: /NA",1
"R) Noted: 0 at this time
W) Selected multiple: Untreated, No treatment system",1
"R) Noted: 0-5",1
"R) Noted: 2 Horses",1
"R) Noted: 2 Horses
W) Selected multiple options: Untreated, No Treatment System",1
"R) Noted: 4 goats - chickens
S) Multiple selections: No, Don’t know
Z) Multiple selections: No, Don't know
CC) Multiple selections: Not Sure, Source is not a well",1
"R) Noted: 40 Pairs cows
W) Noted: *Need new system
Y) Noted: (old system)
FF) Noted: 7/2022",1
"R) Noted: 55-60 Pair
CC) Noted: <100",1
"R) Noted: Chickens",1
"R) Noted: For last 20 years
AA) Noted: 2019",1
"R) Noted: N/A",3
"R) Noted: N/A
FF) Noted: New",1
"R) Noted: N/A
FF) Noted: Went to have pumped - Already Empty",1
"R) Noted: NA",1
"R) Noted: None",5
"R) Noted: None
T) Noted: ?
Testing Cost: Calculated analysis cost by subtracting admin fee from total cost",1
"R) Noted: None (Wildlife)",1
"R) Noted: None Now
AA) Noted: ?
BB) Noted: 1974",1
"R) Noted: None at this time
Testing cost box: Nothing listed, cost calculated by sum of checked parameters.",1
"R) Noted: Pairs
AA) Noted: 2020",1
"R) Noted: Zero
X) Noted: basic sand + debris filter
BB) Noted: Home Age",1
"R) Noted: none
BB) Noted: (36)
W) Selected Multiple: Untreated, No treatment system
F) Alternate number: 406-423-5471",1
"R) Pair cattle
BB) Home
CC) Groundwater",1
"R) Ranchers do lease, unk #",1
"R) Seasonally ~80 in that pasture",1
"R) Varies",1
"R) Written ""3 short-term"" on the registration form.
Y) ""from my well) written on the side of the question.",1
"R) head of cattle",2
"R) livestock count written as varies, left the autopopulated 0 in the database",1
"R) person wrote down ""2 horses-summer only"" in this section, therefore this section was left at the auto-populated 0 in the database. 220 ft well",1
"R) written ""varies 10-25"", average = 17.5, put into database as 18.",1
"R)Noted: Horses as pets",1
"RO treatment also",1
"References well 158802 - wonders if it's sealed?",1
"Replaced pump @ 75 ft; Can't find well profile K) Used township, section, range",1
"Requested e. Coli test only. No analysis cost provided O) Farm field to south",1
"Residential and commercial land use",1
"S) InactiveWellsPresent: ""2""
Y) CurrentlyTreatDrinkingWater: ""Reverse Osmosis""",1
"S) InactiveWellsPresent: ""No"" box also checked",1
"S) InactiveWellsPresent: ""old oil wells"" written in box; T) InactiveWellsSealed: ""non-active plugged"" written in box",1
"S) Note: 1 inactive well on the property",1
"S) all three boxes are checked, put ""don’t know"" into the database.   32 ft well",1
"S/T) ""new well drilled 2014 not connected to house"" written in box
Z) ""just moved here"" written in box",1
"Sample Treated With: High Flow Filter",1
"Sample also treated with Reverse Osmosis. 73.5 ft well depth",1
"Sample also treated with cartridge filter. Both ""yes"" and ""no"" checked for ""Do you currently treat your well water before drinking"".",1
"Sample decription may be wrong- hand writing",1
"Sample from creek.",1
"Sample is also treated with Particulate; 400 ft well depth",1
"Sample is also treated with Reverse Osmosis, for Tested well in the MT Well Educated program before they put the year 2018; 240ft well depth",1
"Sample is treated with U.V. light.",1
"Sample is treated with particulate filter as well",1
"Sample is untreated and no treatment system
Montanawelltestprogram last test in 2020",1
"Sample treated has two checks one for untreated and one that is scratched out on treated.",1
"SampleTreatedBeforeTesting: ""iron filtered"" written in blank next to ""Other"" box",1
"Sand filter.",1
"Says ""Cistrin"" as county and as a note by familiarity with well function",1
"Says ""on record"" for well depth and well location",1
"Scribbled over 'Farm' on part Q
Wrote 'goat/sheep' on part R",1
"Scribbled over 'yes' on I and J, wrote 'no to both' next to them and marked 'no'
Wrote 'N/A' on part R
Misentered total cost, only putting 10 instead of the total",1
"Second sheet not attatched",1
"Sediment filtered",1
"Septic Not Installed Yet",1
"Septic Pumped in 2010 When Purchased",1
"Septic pumped 2015",1
"Septic pumped April 2018",1
"Septic pumped in 3-2016",1
"Share with GLWQD",1
"Source is from (precip fed)a tractor tire water tank. Horses were diagnosed with liver inflammation",1
"Source is from cistern",1
"Spent $12 on shipping",1
"Spring",1
"Spring K) Used Township, Section, Range",1
"Spring Water",2
"Spring; no septic system in area, in ag field",1
"Stock Water Resevoir; section 2 reservoir",1
"Stock Water Resevoir; section 7 reservoir",1
"Surrounded by farm. Chickens on site. ""#5 test went through softener""",1
"T) Multiple Selected: Not Applicaple, Not Sure
W) Multiple Selected: Untreated, No Treatment System
AA) Noted: What are Those?",1
"T) Selected multiple options: Yes, Not Applicable",1
"TH@LWQD written next to I)",1
"TWP 01S Section 22 Range 04E , Camron Bridle Prop; depth 50ft",1
"Tap water from municpal supply",1
"Tested 2013, 2014, 2015",1
"Tested in 2010 and then again",1
"Tested in 2015",1
"Tested last in 2015",1
"Tested with WellEd in 2019",1
"Testing Cost section not filed out but Full Domestic Analysis ($75) is checked of",1
"Testing Cost) conductivity and nitrate+nitrate as N only",1
"The location of well was a legal description and was converted to coordinates by MSUEWQ. In location of well they wrote GEO Code 144 781 264 010 100 00. For GWIC ID they wrote 114 781 264 010 100 00. Next to number of livestock they wrote None now 20 Anim",1
"The location of well was given as a legal description that was converted into coordinates by MSUEWQ; 01N 05E 7 D; 30 ft well depth",1
"The location of well was given as a legal description that was converted into coordinates by MSUEWQ; 01N 05E 7 D; 60 ft well depth",1
"The sample is also treated with Carbon; well depth 75 ft; krs entered county",1
"The sample is also treated with Rerverse Osmosis; 145ft well depth",1
"The sample is also treated with Reverse Osmosis",1
"The sample is also treated with Reverse Osmosis; township 22N section 17 range 59E",1
"The sample was treated with Filter.",1
"The septic is new and like the well, not used yet",1
"The well is ""new"".",1
"They added a second phone number 406-761-3588, next to tested well in Well Ed program before they wrote Now. Well depth 430 ft",1
"They also checked Pariculate for sample treated with; 100 ft well depth",1
"They also checked other for sample is treated with. 30 ft well depth",1
"They crossed out the word well all over the registration form and wrote Cistern instead and gave the age of the cistern instead of age of home/well. Next to Classify the area they wrote farmstead, and for the question is the sample treated they wrote City",1
"They did no include a city for physical address. Next to number of livestock they wrote varies 0-60 (only summer, not this year); well depth not sure and 27 ft in blank",1
"They did not check anything for the question previously tested with MT Well Educated program before but they wrote 2017 in the blank for the year. 80 ft well depth",1
"They did not fill out back of Registration Sheet. Ks looked up results to find total",1
"They did not include a city for mailing or physical address. Next to number of livestock they wrote may add some later. Age of home checked more than 30 years and was built for a pump jack it looks like. 121 ft well depth",1
"They did not include a city for the physical address.",1
"They did not include a city for their physical address.",1
"They did not include a zipcode for the physical address.",1
"They did not include the city for their address.",1
"They did not include the city or state for the physical address. Someone else put an x by the physical address of the well.",1
"They did not provide a town for the physical address of the well. They wrote lawn next to primary use for well. 740 ft well depth",1
"They did not write what county the well is in.",1
"They have 2 phone numbers the other is 307-899-4570, and two emails the other is brittanyblakesley@gmail.com; township 14N section 12 range 68W; 13ft well depth",1
"They included 2 phone numbers the other is 254-1274; 148 ft depth",1
"They left county blank, autofill was correct",1
"They tested this well in the MT Well Educated program in 2016; township 01N section 35D  range 05E; 85 ft well depth",1
"They wrote 50'-70' for the depth of well.",1
"They wrote N/A next to GWIC ID, they put question marks next to feet in the question depth of well, and they wrote not yet next to the question house on septic. 36 ft well depth. Mailing and physical city and state not on reg sheet, looked up and entered",1
"They wrote N/A next to sample is treated with, next to depth of well they wrote 60? Ft and checked not sure. On the back they wrote we may want to do additional tests, can we disscuss over the phone? 600-6670",1
"They wrote NA next to GWIC Id",1
"They wrote NA next to sample was treated with.",1
"They wrote an arrow pointing down and 60 for depth of well.",2
"Thinks well is 20'",1
"This is for Border pond sample; border pond -001 9-7-2020 15:00; alkali pond -022 9-9-2020 08:00",1
"This is for alkali pond sample; border pond -011 9-7-2020 15:00; alkali pond -002 9-9-2020 08:00",1
"This registration sheet has no questions for wanting folders or DVD; depth 130 ft",1
"This sample was submitted with samples from Sarina O'Connor.",1
"This water sample is from the town water- no well - The water is treated with a water softener. Thank you.",1
"This water sample is unfiltered; when we run it through a filter before it goes into the water softener there are black particles caught in the filter. We would like to know if it is coal-or?? Thank you for your help.",1
"Treament: sediment filter",1
"Treat with RO (did not check box)",1
"Treated with NoVo H2O
house build 1987",1
"Treated with RO and P5 + Z5 filters",1
"Treated with UV",1
"Treated with a filter system",1
"Treated with bleach",1
"Treated with filter - sandpoint stainless steel (well?)",1
"Treated with softener ""just don’t believe it is connected to this""",1
"Treated with water softener too",1
"Treated with: Potassium
Map method: google maps",1
"TreatedWith: ""Iron Filter""",1
"TreatedWith: ""N/A"" written beside ""other""; DepthOfWell: ""Tiber Water holding Tank"" written beside ""Source is not a well""",1
"TreatedWith: ""RO"" box also checked",3
"Treatment: water softener, particulate, UV",1
"Twp Data 2N Section 19 Range 58E; livestock operation with no livestock number specified;Depth 150ft",1
"U) Household and garder water, irrigation, and other checked off, put into database as household and irrigation.
X) Other: UV",1
"U) Noted: Trees and Livestock",1
"U) Noted: shelterbelt
BB) Noted: 39",1
"U) Only garden and irrigation, not household
AA) Yes, on 06/11/2019",1
"U) Other: yard and garden.",1
"U) PrimaryDrinkingSource - ""will"" written next to checked ""yes"" box",1
"U) PrimaryWaterUseFromWell: ""DRINKING"" also written in box above ""Other"" box",1
"U) PrimaryWaterUseFromWell: ""Other"" box also checked",2
"U) PrimaryWaterUseFromWell: ""RV trailer"" written in box next to checked ""Other"" box
X) Treated With: ""Novo system"" written in blank next to ""Other""",1
"U) PrimaryWaterUseFromWell: ""SHOP"" written in blank next to checked ""Other"" box",1
"U) PrimaryWaterUseFromWell: ""fish"" written next to checked ""Other"" box; CC) DepthOfWell: ""N/A"" written in blank",1
"U) PrimaryWaterUseFromWell: ""in a greenhouse"" written next to checked ""irrigation"" box",1
"U) Water softener and particulate
AA) Yes, in the year 2015, approximately",1
"U) the word ""fishing"" is written next to the other box on the registration form, but the other box is not checked off. Irrigation is also checked off, so irrigation was put into the database.
CC) Pond written next to source is not a well box but this box",1
"USGS geocommunication for coordinates; Well probably 25 ft deep",1
"USGS geocommunication for coordinates; Well probably 60-70 ft deep",1
"Under Lat and Long they wrote 015 33E DC00; township 10S section 33E range 24; well depth 21.85 ft",1
"Unknown # of livestock",1
"Use a common filter",1
"Used Latlong.net for coordinates. Uses water filter for drinking",1
"Uses ultraviolet purifier",1
"V) ""Smells bad"" written next to question.
AA) ""Not sure"" written next to question.
DD) ""Rental property"" written next to question.",1
"V) Bottle water
Y) sample is before treatment system
CC) pump 70, top of water 53'",1
"V) Marked both boxes BB) Marked multiple boxes",1
"V) Not right now but would like toY) Not drinking it right now",1
"V) Note: ""Will if tested ok"".
Y) Note: ""Have not drank water yet"".",1
"V) Noted: - cooking + cleaning
H) No email provided",1
"V) Noted: Not Yet
EE) Noted: Not Yet",1
"V) Primary Drinking Source: Yes for SHEEP. No for PEOPLE.",1
"V) PrimaryDrinkingSource: ""Just hooked well to house. Trying to determine""",1
"V) PrimaryDrinkingSource: ""NA"" written in box",1
"V) PrimaryDrinkingSource: ""No"" box also checked",1
"V) PrimaryDrinkingSource: ""sometimes"" written next to checked ""yes"" box; X) TreatedWith: ""NA"" written next to checked ""other"" box; DD) FamiliarityWithWellFunction: ""Can we get the well log?"" written in DD box; FF) SepticEverPumped: ""Previous owner did"" wr",1
"V) Selected Multiple Options: Yes, No",1
"V) Trying to filter",1
"V) Would like to",1
"V) wrote ""we would like to"" next to the question on the registration form",1
"V) wrote: ""sometimes"" put into the database as no data since no boxes were checked",1
"Vaction home",1
"W) Multiple Options Selected: Treated, No Treatment System",1
"W) Multiple Options Selected: Untreated, No Treatment System",1
"W) Sample is untreated and no treatment system selected on registration form. 210 ft well",1
"W) SampleTreated: ""Sample is Untreated"" box is checked off, then scribbled over",1
"W) SampleTreatedBeforeTesting: ""except for sediment filter"" written in box",1
"W) Selected Multiple Options: Untreated, No Treatment System
FF) Noted: New System",1
"W) Selected Multiple: Untreated, No Treatment System",1
"W) Selected Multiple: Untreated, No treatment system",1
"W) Selected multiple options: Untreated, No Treatment System
FF) Noted: New septic system",1
"Want to drink once it's treated - not moved in yet",1
"Water Source is a Spring",1
"Water Treated with R.O. as well",1
"Water also treated with carbon and UV.",2
"Water also treated with particulate",2
"Water also treated with particulate.",1
"Water filtered before drinking 
depth of well believed to be 12 ft",1
"Water is also treated with R.O.",1
"Water is run through fridge filter.",1
"Water right # 41H-C-055092-00",1
"Water softener and RO. Between 0-150 ft well",1
"Water source is a spring",1
"Water source is a spring, Sunshine Ranch LLC",1
"Water treated with chlorine",1
"Water treated with water filter on main pipe.",1
"Water use other checked( no description); previous well ed testing ""?"";",1
"We do not drink it",1
"Well 60 - 80 ft",1
"Well >200",1
"Well Log Attached",2
"Well approx 40 ft",1
"Well coordinates are incomplete",1
"Well depth 660 ft",1
"Well dug in 2002. Has sat dormant -- Well was shock treated prior two hours of mump running producing 13 gpm -- will put in septic",1
"Well is 1,420 feet deep.",1
"Well is 127' - 247'",1
"Well is 292 ft deep",1
"Well is 78 ft. Only partial TSR provided (16 RSE)",2
"Well is 785 ft deep",1
"Well is 785ft",1
"Well log indicates it's 70'; however measurment in 2013 was 55'",1
"Well thought to be 150 ft",1
"Well was shocked with bleach. Last tested in 2016.",2
"Will be their primary drinking source",1
"Would like to drink from this source",1
"Would like to use (for drinking)",1
"Written Map Method:  ""Cell Phone App""
""Likely None Here"" Written next to part T ('Not sure' was filled in)
'Lab ID 1801467-01"" Written next to part Z",1
"Written Map Method:  ""From Well log # 2201517""",1
"Wrote ""NA"" for FF.",1
"Wrote ""some"" about treated water.",1
"Wrote '(cistern)' next to parts K, P, U
wrote 'No wells' on part T; did not mark any boxes",1
"Wrote '1 mile out of city limits' on part O
Wrote 'Adjacet property weed-free hay + [can't tell] hay' on part P
Wrote '2020' on part AA
Wrote 'dug 1992 by Koturs' on part BB",1
"Wrote '2022' on part AA",3
"Wrote '22 on part AA
Gave a number in addition to marking 'not sure' on part CC",1
"Wrote '23 Now - over the years averaged 80 or so' on part R
Wrote 'still usable in emergency' on part T
Wrote 'sample has not been filtered' on part W
Wrote 'just started filtering' on part Y
Additional page of notes from well owner",1
"Wrote '2nd' Next to 'Household and Garden Water' for part U",1
"Wrote '2nd' next to 'Household and Garden Water' for part U
Total cost has typo ('10.00' Written instead of analysis + $10)",1
"Wrote '3 horses, 2 pigs, 1 cow + chickens' on part R
Phone number 800-735-4489 written on parameter choice sheet",1
"Wrote '30-60' feet for well depth; averaged to 45 and entered <50",1
"Wrote '406-866-3340 X7 on phone number, not sure what 'X7' represents
Wrote 'commercial' for part Q
wrote '2022' on part AA
Wrote 'please call for credit card payment (406) *66-3340 X7' on parameter choice sheet",1
"Wrote 'Actually a developed spring w/ hand dug well'  On part BB",1
"Wrote 'Between Ryegate + Lavina on north side of Hwy 2' on physical address followed by 'don't know' for zip code; field was autopopulated with the same as mailing address but doubt this is correct
Wrote 'Raw land & cabin & 3 stall shed' on part Q'
Wrot",1
"Wrote 'GLWQD' next to part L",1
"Wrote 'GLWQD' next to part L
wrote '2018' on part AA",1
"Wrote 'GLWQD' next to part L
wrote '2018?' on part AA
marked 'yes' and scribbled on 'I don't know' on part FF, wrote 'plan to do soon'; wrote '2018' next to 'yes'",1
"Wrote 'LWQD' next to part K
Wrote 'none' on part R",1
"Wrote 'LWQD' next to part K
both 'untreated' and 'no treatment system' marked",1
"Wrote 'NA' next to part Y, part BB, part CC, and part DD",1
"Wrote 'NA' on part R
Marked both 'no' and 'not sure' on part Z
Marked both 'no' and I don't know' on part FF",1
"Wrote 'NA' under GWIC ID",1
"Wrote 'Primary' under 'Residential' and 'Partial' under 'Livestock' in LandUse",1
"Wrote 'Recreational' on part Q",1
"Wrote 'Report' on part L",1
"Wrote 'UV System'  in 'Other' in addition to checking 'Particulate' for TreatedWith
Wrote 'N/A' by CurrentlyTreatDrinkingWater",1
"Wrote 'Water Right # 41H30065583' Next to GWIC Id space; did not provide GWIC ID",1
"Wrote 'all lower case' under part H
Wrote 'sand filter' for part X",1
"Wrote 'geocode 2868-08-1-01-07-000' on part K
Wrote '1 house' on part Q
Wrote 'part year approx 50 cattle in past
Wrote'new this year' next to part FF",1
"Wrote 'none at this time' for part R
Wrote 'It's a spring' on part CC; did not mark 'not a well'",1
"Wrote 'none' on part R",1
"Wrote 'not on Google' in part D
Wrote 'dry hills pasture' on part Q",1
"Wrote 'on x maps' on part L
Wrote 'varies' on part R
Wrote 'RO system' on part Y
Wrote 'house less than 2 yrs old' on part FF",1
"Wrote 'past feedlot' on part Q",1
"Wrote 'spring' by part K",1
"Wrote 'survey map' on part L
wrote 'none' on part R",1
"Wrote 'testing to figure out treatment needs' on part W/X/Y section",1
"Wrote 'this is a z (letter)' over part H
Wrote 'GLWQD' on part L",1
"Wrote 'will be a new system' in septic system box, did not check any boxes",1
"Wrote a '?' by entry for part CC",1
"Wrote in USGS Topo for map method",2
"Wrote something next to Lat/Long space ('Lewistown'?)
Wrote 'Recreational' (?) for LandUse",1
"Wrote something next to Part L; not sure of meaning",1
"X) ""UV light"" written beside ""other""",1
"X) Also treats water w/ particulate and carbon.",1
"X) Aquasana",1
"X) City filtration",1
"X) City water",1
"X) Culligan water filter for sedimentBB) New pump 2015",1
"X) Filter",1
"X) Multiple Options Selected: Water Softner, Particulate",1
"X) Multiple Options Selected: Water Softner, Particulate
AA) Noted: 2018, 2019",1
"X) Multiple Options: Water Softener, RO",1
"X) Multiple selected: Water softner, Particulate
FF) Noted: Brand new septic",1
"X) N/A written in ""Other"" spot, put ""no data"" in the database.  470 ft well",1
"X) Noted: N/A",1
"X) Noted: N/A
Y) Noted: R.O. (reverse osmosis)",1
"X) Noted: Sediment Filter
AA) Noted: 2008 by prior owner
BB) Noted: 1975",1
"X) Nothing filter",1
"X) Other: Chlorine",2
"X) Other: Colligen Filter",1
"X) Other: Filter",1
"X) Other: Iron filter",1
"X) Other: Iron filter?",1
"X) Other: N/A",1
"X) Other: NA
R) head of cattle",1
"X) Other: Not Sure",1
"X) Other: Not filterAA) In the year 2018, but not specifically stated as ""yes""",1
"X) Other: Sediment",1
"X) Other: There is an iron remover I think",1
"X) Other: filter
BB) Both 15-30 years and more than 30 years selected on the registration sheet.",1
"X) Other: iron curtain",1
"X) Other: iron filter
AA) Wrote '?' after 'If yes, what year'",1
"X) Other: iron filter
CC) SWL: 14'",1
"X) Other: not treated
Y) Yes: we have reverse osmosis",1
"X) Other: sand filter
AA) Note: ""Not sure""
FF) Note: ""brand new 2018"".",1
"X) Paper filter",1
"X) Particulate",2
"X) Particulate and Carbon",1
"X) Reverse Osmosis, Carbon",1
"X) Same was treated with: wrote ""NONE""",1
"X) Sample was treated with: wrote ""0""",1
"X) SampleTreatedWith: ""2015? 2016"" written in blank next to other",1
"X) Sediment filter",1
"X) TreatedWith: ""20 Micron Sediment (polypropylene)"" written in blank next to checked ""Other"" box",1
"X) TreatedWith: ""Carbon"" box also checked",2
"X) TreatedWith: ""Distill"" written in blank next to checked ""Other"" box, Y) ""No"" box also checked",1
"X) TreatedWith: ""Filter"" written in blank next to checked ""Other"" box",2
"X) TreatedWith: ""Filter"" written in blank next to checked ""Other"" box, ""Water softener"" box also checked",1
"X) TreatedWith: ""Filtered Plastic"" written in blank next to checked ""Other"" box",1
"X) TreatedWith: ""Iron Filter"" written in ""Other"" blank",1
"X) TreatedWith: ""Iron Filter"" written next to checked ""Other"" box",1
"X) TreatedWith: ""Iron Removal"" written next to checked ""Other"" box",1
"X) TreatedWith: ""N/A"" written in blank next to ""Other"" box; Y) CurrentlyTreatingDrinkingWater: ""Sampled from well head spigot"" written next to checked ""No"" box; FF) SepticEverPumped: ""FYI - our homeowners association pumps every 3 years"" written in box",1
"X) TreatedWith: ""NA"" written in checked ""Other"" box",1
"X) TreatedWith: ""Nitrate trap"" written in blank next to checked ""Other"" box",1
"X) TreatedWith: ""Other"" box also checked",2
"X) TreatedWith: ""Other"" box also checked, ""Charcoal"" written in blank",1
"X) TreatedWith: ""Particulate Filter"" written in blank next to ""Other"" box",2
"X) TreatedWith: ""Particulate"" and ""Carbon"" boxes also checked",1
"X) TreatedWith: ""Particulate"" and ""Reverse Osmosis"" also selected",1
"X) TreatedWith: ""Particulate"" box also checked",5
"X) TreatedWith: ""Pentair-Pentax Big Blu filter"" written in blank next to checked ""Other"" box",1
"X) TreatedWith: ""RO"" box also checked",2
"X) TreatedWith: ""Reverse Osmosis"" box also checked",4
"X) TreatedWith: ""Reverse Osmosis"" box also checked
D) MailStreet: ""PO Box"" given above ""6065 Davis Creek Rd""",1
"X) TreatedWith: ""U.V."" written in blank next to checked ""Other"" box",1
"X) TreatedWith: ""UV Light"" written in blank next to checked ""Other"" box",1
"X) TreatedWith: ""UV"" written in blank next to checked ""Other"" box",1
"X) TreatedWith: ""Whole House Filter"" written in blank next to checked ""Other"" box;    Previously tested in 1992,2007, and 2009",1
"X) TreatedWith: ""iron filter"" written in blank next to checked ""Other"" box",1
"X) TreatedWith: ""irrigation"" written in blank next to unchecked ""Other"" box",1
"X) TreatedWith: ""omni filter"" written in blank next to checked ""Other"" box",1
"X) TreatedWith: ""unknown"" written in blank next to checked ""Other"" box",1
"X) TreatedWith: both ""reverse osmosis"" and ""carbon"" were checked; BB) AgeOfHome: wrote ""120 years"" beside checked box",1
"X) TreatedWith: wrote ""Iron Filter"" in ""other"" blank",1
"X) U.V.",1
"X) Water Softener and Particulate",1
"X) Water Softener, Reverse Osmosis",1
"X) Water softener and Particulate",1
"X) Water softener and filter",1
"X) Water softener and particulate
AA) Yes, in the year 2015, approximately",2
"X) Water softener, Carbon, and Other (UV) boxes all checked",1
"X) also selected 'water softener'",1
"X) fabric filter",1
"X) other: wholse house poly pheat filter
Z) 2013
CC) maybe 25-35 feet.
FF) ""but previous owner did"".",1
"X) put down both water softener and reverse osmosis, put into database as water softener.",1
"X) question mark (?) next to Carbon checkbox
Y) ""just filter when it comes into house"" written next to the checkboxes. 28 ft well",1
"X) sample treated with water softener and reverse osmosis. 45 ft well",1
"X) sample treated with water softener, particulate",1
"X) treated with water softener and filter
FF) ""only in house 1 year"".",1
"X) treated with water softener and particulate",1
"X) water softener and particulate
AA) Yes, in the year 2015, approximately",1
